"fare_id","route_id","origin_id","destination_id","contains_id"
"4012_7001_1_300_20260407","4012_7001_1_20260407","100736_1","100175_2",
"4012_7011_1_300_20260407","4012_7011_1_20260407","100736_1","100175_2",
"4012_1751_1_310_20260407","4012_1751_1_20260407","100736_1","100176_2",
"4012_1761_1_310_20260407","4012_1761_1_20260407","100736_1","100176_2",
"4012_1861_1_310_20260407","4012_1861_1_20260407","100736_1","100176_2",
"4012_1941_1_310_20260407","4012_1941_1_20260407","100736_1","100176_2",
"4012_1961_1_310_20260407","4012_1961_1_20260407","100736_1","100176_2",
"4012_2041_1_310_20260407","4012_2041_1_20260407","100736_1","100176_2",
"4012_2051_1_310_20260407","4012_2051_1_20260407","100736_1","100176_2",
"4012_7001_1_310_20260407","4012_7001_1_20260407","100736_1","100176_2",
"4012_7011_1_310_20260407","4012_7011_1_20260407","100736_1","100176_2",
"4012_1751_1_310_20260407","4012_1751_1_20260407","100736_1","100177_2",
"4012_1761_1_310_20260407","4012_1761_1_20260407","100736_1","100177_2",
"4012_1861_1_310_20260407","4012_1861_1_20260407","100736_1","100177_2",
"4012_1941_1_310_20260407","4012_1941_1_20260407","100736_1","100177_2",
"4012_1961_1_310_20260407","4012_1961_1_20260407","100736_1","100177_2",
"4012_2041_1_310_20260407","4012_2041_1_20260407","100736_1","100177_2",
"4012_2051_1_310_20260407","4012_2051_1_20260407","100736_1","100177_2",
"4012_7001_1_310_20260407","4012_7001_1_20260407","100736_1","100177_2",
"4012_7011_1_310_20260407","4012_7011_1_20260407","100736_1","100177_2",
"4012_1751_1_500_20260407","4012_1751_1_20260407","100736_1","100407_1",
"4012_1761_1_500_20260407","4012_1761_1_20260407","100736_1","100407_1",
"4012_1961_1_500_20260407","4012_1961_1_20260407","100736_1","100407_1",
"4012_7001_1_500_20260407","4012_7001_1_20260407","100736_1","100407_1",
"4012_7011_1_500_20260407","4012_7011_1_20260407","100736_1","100407_1",
"4012_1861_1_500_20260407","4012_1861_1_20260407","100736_1","100407_3",
"4012_1941_1_500_20260407","4012_1941_1_20260407","100736_1","100407_3",
"4012_2041_1_500_20260407","4012_2041_1_20260407","100736_1","100407_3",
"4012_2051_1_500_20260407","4012_2051_1_20260407","100736_1","100407_3",
"4012_1751_1_500_20260407","4012_1751_1_20260407","100736_1","100408_2",
"4012_1761_1_500_20260407","4012_1761_1_20260407","100736_1","100408_2",
"4012_1861_1_500_20260407","4012_1861_1_20260407","100736_1","100408_2",
"4012_1941_1_500_20260407","4012_1941_1_20260407","100736_1","100408_2",
"4012_1961_1_500_20260407","4012_1961_1_20260407","100736_1","100408_2",
"4012_2041_1_500_20260407","4012_2041_1_20260407","100736_1","100408_2",
"4012_2051_1_500_20260407","4012_2051_1_20260407","100736_1","100408_2",
"4012_7001_1_500_20260407","4012_7001_1_20260407","100736_1","100408_2",
"4012_7011_1_500_20260407","4012_7011_1_20260407","100736_1","100408_2",
"4012_1751_1_500_20260407","4012_1751_1_20260407","100736_1","100409_2",
"4012_1761_1_500_20260407","4012_1761_1_20260407","100736_1","100409_2",
"4012_1861_1_500_20260407","4012_1861_1_20260407","100736_1","100409_2",
"4012_1941_1_500_20260407","4012_1941_1_20260407","100736_1","100409_2",
"4012_1961_1_500_20260407","4012_1961_1_20260407","100736_1","100409_2",
"4012_2041_1_500_20260407","4012_2041_1_20260407","100736_1","100409_2",
"4012_2051_1_500_20260407","4012_2051_1_20260407","100736_1","100409_2",
"4012_7001_1_500_20260407","4012_7001_1_20260407","100736_1","100409_2",
"4012_7011_1_500_20260407","4012_7011_1_20260407","100736_1","100409_2",
"4012_1751_1_500_20260407","4012_1751_1_20260407","100736_1","100410_2",
"4012_1761_1_500_20260407","4012_1761_1_20260407","100736_1","100410_2",
"4012_1861_1_500_20260407","4012_1861_1_20260407","100736_1","100410_2",
"4012_1941_1_500_20260407","4012_1941_1_20260407","100736_1","100410_2",
"4012_1961_1_500_20260407","4012_1961_1_20260407","100736_1","100410_2",
"4012_2041_1_500_20260407","4012_2041_1_20260407","100736_1","100410_2",
"4012_2051_1_500_20260407","4012_2051_1_20260407","100736_1","100410_2",
"4012_7001_1_500_20260407","4012_7001_1_20260407","100736_1","100410_2",
"4012_7011_1_500_20260407","4012_7011_1_20260407","100736_1","100410_2",
"4012_1751_1_500_20260407","4012_1751_1_20260407","100736_1","100411_1",
"4012_1761_1_500_20260407","4012_1761_1_20260407","100736_1","100411_1",
"4012_1861_1_500_20260407","4012_1861_1_20260407","100736_1","100411_1",
"4012_1941_1_500_20260407","4012_1941_1_20260407","100736_1","100411_1",
"4012_1961_1_500_20260407","4012_1961_1_20260407","100736_1","100411_1",
"4012_2041_1_500_20260407","4012_2041_1_20260407","100736_1","100411_1",
"4012_2051_1_500_20260407","4012_2051_1_20260407","100736_1","100411_1",
"4012_7001_1_500_20260407","4012_7001_1_20260407","100736_1","100411_1",
"4012_7011_1_500_20260407","4012_7011_1_20260407","100736_1","100411_1",
"4012_1751_1_500_20260407","4012_1751_1_20260407","100736_1","100412_2",
"4012_1761_1_500_20260407","4012_1761_1_20260407","100736_1","100412_2",
"4012_1861_1_500_20260407","4012_1861_1_20260407","100736_1","100412_2",
"4012_1941_1_500_20260407","4012_1941_1_20260407","100736_1","100412_2",
"4012_1961_1_500_20260407","4012_1961_1_20260407","100736_1","100412_2",
"4012_2041_1_500_20260407","4012_2041_1_20260407","100736_1","100412_2",
"4012_2051_1_500_20260407","4012_2051_1_20260407","100736_1","100412_2",
"4012_7001_1_500_20260407","4012_7001_1_20260407","100736_1","100412_2",
"4012_7011_1_500_20260407","4012_7011_1_20260407","100736_1","100412_2",
"4012_1751_1_500_20260407","4012_1751_1_20260407","100736_1","100413_2",
"4012_1761_1_500_20260407","4012_1761_1_20260407","100736_1","100413_2",
"4012_1861_1_500_20260407","4012_1861_1_20260407","100736_1","100413_2",
"4012_1941_1_500_20260407","4012_1941_1_20260407","100736_1","100413_2",
"4012_1961_1_500_20260407","4012_1961_1_20260407","100736_1","100413_2",
"4012_2041_1_500_20260407","4012_2041_1_20260407","100736_1","100413_2",
"4012_2051_1_500_20260407","4012_2051_1_20260407","100736_1","100413_2",
"4012_7001_1_500_20260407","4012_7001_1_20260407","100736_1","100413_2",
"4012_7011_1_500_20260407","4012_7011_1_20260407","100736_1","100413_2",
"4012_1751_1_500_20260407","4012_1751_1_20260407","100736_1","100414_2",
"4012_1761_1_500_20260407","4012_1761_1_20260407","100736_1","100414_2",
"4012_1861_1_500_20260407","4012_1861_1_20260407","100736_1","100414_2",
"4012_1941_1_500_20260407","4012_1941_1_20260407","100736_1","100414_2",
"4012_1961_1_500_20260407","4012_1961_1_20260407","100736_1","100414_2",
"4012_2041_1_500_20260407","4012_2041_1_20260407","100736_1","100414_2",
"4012_2051_1_500_20260407","4012_2051_1_20260407","100736_1","100414_2",
"4012_7001_1_500_20260407","4012_7001_1_20260407","100736_1","100414_2",
"4012_7011_1_500_20260407","4012_7011_1_20260407","100736_1","100414_2",
"4012_1751_1_500_20260407","4012_1751_1_20260407","100736_1","100415_2",
"4012_1761_1_500_20260407","4012_1761_1_20260407","100736_1","100415_2",
"4012_1861_1_500_20260407","4012_1861_1_20260407","100736_1","100415_2",
"4012_1941_1_500_20260407","4012_1941_1_20260407","100736_1","100415_2",
"4012_1961_1_500_20260407","4012_1961_1_20260407","100736_1","100415_2",
"4012_2041_1_500_20260407","4012_2041_1_20260407","100736_1","100415_2",
"4012_2051_1_500_20260407","4012_2051_1_20260407","100736_1","100415_2",
"4012_7001_1_500_20260407","4012_7001_1_20260407","100736_1","100415_2",
"4012_7011_1_500_20260407","4012_7011_1_20260407","100736_1","100415_2",
